NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,1,2,0,1,6,6,1,1415,1175,240,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 539), (960, 539), (960, 540), (960, 544), (960, 548), (960, 554), (962, 569), (964, 576), (967, 585), (973, 598), (985, 624), (990, 637), (998, 648), (1005, 661), (1031, 698), (1048, 721), (1060, 742), (1076, 762), (1095, 795), (1102, 811), (1111, 825), (1120, 838), (1140, 869), (1151, 883), (1158, 894)]",60.7807533095154,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,2,7,7,1,1749,460,1289,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 539), (960, 539), (959, 538), (959, 538), (959, 538), (959, 538), (959, 538), (959, 538), (959, 538), (959, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (958, 538), (956, 538), (955, 540), (955, 542), (954, 547), (954, 550), (952, 555), (952, 557), (952, 560), (952, 561), (952, 562), (952, 562), (952, 562), (952, 562), (952, 562), (952, 562), (952, 562), (952, 562), (952, 562), (952, 564), (951, 569), (950, 576), (949, 583), (949, 594), (947, 617), (946, 631), (944, 644), (941, 657), (938, 684), (934, 700), (932, 716), (928, 735), (923, 766), (921, 782), (918, 795), (915, 806), (911, 822), (910, 825), (910, 828), (910, 828), (910, 828), (910, 828), (910, 828), (910, 828), (908, 830), (908, 832), (907, 833), (906, 836), (903, 841), (902, 844), (900, 847), (899, 849), (896, 856), (894, 862), (891, 874), (888, 886), (876, 924), (870, 949)]",102.41009090517461,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,3,5,5,1,2180,2080,100,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (956, 539), (945, 529), (935, 520), (924, 511), (910, 498), (851, 453), (812, 425), (775, 392), (737, 359), (681, 295), (663, 265)]",222.79740183823418,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,4,9,9,1,580,500,80,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (951, 547), (940, 556), (924, 571), (898, 593), (834, 654), (786, 691), (727, 739), (670, 789), (558, 884)]",139.4456883534957,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,5,1,1,1,1112,892,220,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 539), (962, 536), (965, 523), (969, 515), (971, 501), (980, 486), (995, 450), (1004, 429), (1010, 414), (1013, 403), (1022, 382), (1027, 372), (1030, 363), (1033, 352), (1039, 331), (1042, 318), (1047, 304), (1051, 290), (1062, 259), (1074, 238), (1085, 221), (1097, 202), (1128, 168)]",294.3045492659367,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,6,5,5,1,1479,639,840,149,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 539), (959, 535), (959, 532), (959, 529), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 528), (959, 527), (958, 527), (958, 527), (958, 527), (958, 527), (957, 527), (957, 527), (957, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 527), (956, 525), (956, 522), (956, 515), (956, 511), (956, 508), (956, 504), (954, 497), (953, 495), (952, 492), (949, 488), (939, 478), (932, 472), (923, 467), (911, 461), (884, 451), (871, 448), (851, 444), (833, 442), (788, 442), (761, 439), (733, 439), (707, 434), (658, 425), (641, 420), (632, 414), (622, 410), (611, 401), (607, 397), (604, 391), (602, 388), (594, 379), (589, 374)]",204.10562077654214,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,7,7,7,1,739,509,230,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (957, 540), (955, 542), (953, 544), (949, 548), (948, 549), (947, 549), (946, 550), (945, 551), (943, 553), (942, 555), (940, 560), (939, 595), (945, 641), (958, 695), (974, 748), (993, 838), (993, 866), (992, 880), (990, 890), (985, 909), (984, 922), (981, 937), (980, 948)]",87.19362974821176,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,8,2,9,0,-1070,990,80,147,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (953, 540), (945, 546), (933, 554), (896, 587), (851, 619), (787, 663), (724, 705), (574, 814)]",144.63116979246,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,9,3,3,1,850,390,460,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 540), (964, 540), (965, 540), (967, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (968, 541), (969, 541), (971, 541), (975, 541), (980, 540), (984, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (985, 538), (987, 534), (988, 530), (989, 523), (989, 508), (989, 495), (989, 482), (989, 470), (986, 432), (979, 397), (975, 360), (973, 304), (973, 212), (973, 171), (973, 132)]",271.8249833895494,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
1,1,2,0,10,5,5,1,599,289,310,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (958, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (957, 540), (956, 540), (956, 537), (956, 528), (955, 522), (951, 513), (945, 504), (926, 483), (906, 468), (875, 444), (839, 417), (749, 352), (697, 318), (657, 287), (617, 251)]",220.11633590402434,"[4, 6, 7, 9, 8, 5, 3, 1, 2]","(0, 0.25)",CHN004B,CHN,B,English,Thu Aug 09 14:59:39 2018,Mouse
