NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
2,1,1,0,1,1,1,1,470,400,70,153,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (526, 384), (546, 381), (583, 377), (607, 373), (649, 367), (679, 360), (717, 351), (761, 342)]",350.42577211490817,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,2,3,3,1,652,242,410,153,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (511, 385), (512, 386), (512, 386), (512, 386), (513, 386), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (513, 384), (514, 384), (514, 384), (513, 385), (511, 407), (506, 420), (502, 426), (501, 434), (491, 475), (482, 506), (469, 550), (456, 587), (440, 655)]",104.8787677286669,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,3,1,1,1,451,11,440,152,0,500,200,8000,"[(512, 384), (513, 383), (513, 383), (513, 382), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (513, 381), (517, 376), (527, 372), (532, 371), (539, 368), (552, 366), (599, 346), (639, 330), (673, 316), (711, 299), (821, 253)]",337.02557023432337,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,4,6,6,1,614,524,90,151,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (509, 384), (498, 386), (492, 386), (476, 389), (458, 392), (438, 394), (412, 394), (321, 396), (276, 396), (229, 396)]",177.57195149489084,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,5,9,9,1,463,163,300,150,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 382), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (512, 379), (514, 382), (513, 381), (512, 381), (511, 381), (492, 389), (477, 398), (465, 403), (450, 412), (423, 430), (403, 443), (372, 467), (333, 490), (261, 537)]",148.6351127090173,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,6,2,5,0,-642,232,410,149,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (513, 384), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (513, 382), (512, 383), (512, 385), (515, 387), (518, 387), (521, 388), (527, 389), (530, 389), (534, 389), (536, 390), (536, 390), (536, 390), (536, 390), (536, 390), (536, 390), (536, 386), (524, 364), (516, 353), (505, 339), (487, 312), (471, 292), (459, 271), (447, 242), (429, 212), (393, 144)]",243.62625288502147,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,7,8,8,1,707,117,590,150,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (515, 384), (519, 386), (524, 389), (531, 392), (534, 392), (536, 392), (538, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 392), (539, 393), (539, 393), (539, 393), (539, 393), (539, 393), (539, 393), (540, 396), (542, 399), (545, 414), (549, 421), (554, 432), (556, 445), (564, 473), (566, 486), (571, 502), (577, 520), (585, 548), (593, 566), (600, 577), (607, 590), (623, 622)]",64.99628705525686,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,8,6,6,1,802,12,790,150,0,500,200,8000,"[(512, 382), (512, 381), (512, 378), (512, 378), (512, 375), (512, 375), (512, 375), (512, 374), (512, 372), (512, 371), (512, 368), (512, 365), (512, 361), (509, 358), (509, 355), (508, 353), (507, 350), (506, 348), (506, 348), (505, 346), (505, 345), (505, 345), (504, 342), (504, 340), (502, 337), (502, 337), (502, 336), (501, 335), (501, 335), (501, 334), (501, 334), (501, 334), (501, 334), (501, 334), (501, 334), (501, 334), (501, 344), (501, 356), (501, 367), (501, 378), (501, 392), (502, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 397), (503, 399), (491, 402), (484, 403), (476, 407), (462, 409), (414, 419), (382, 424), (339, 430), (297, 432), (205, 432)]",171.113647707655,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,9,3,3,1,1163,763,400,149,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (513, 371), (506, 362), (499, 353), (492, 347), (474, 331), (467, 324), (459, 320), (456, 318), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (455, 316), (456, 316), (464, 321), (473, 330), (485, 349), (491, 359), (496, 372), (502, 383), (509, 406), (511, 418), (511, 433), (511, 456), (509, 524), (503, 559), (495, 592), (489, 627), (478, 671)]",96.75616449486158,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
2,1,1,0,10,1,1,1,464,394,70,148,0,500,200,8000,"[(512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (512, 384), (517, 382), (527, 377), (539, 372), (559, 365), (628, 346), (667, 337), (711, 323), (753, 310)]",342.93068938791225,"[7, 8, 3, 9, 6, 2, 5, 4, 1]","(0, 0.25)",CHN006A,CHN,A,Chinese,Mon Oct  8 18:03:45 2018,Mouse
