NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,1,3,0,1,7,7,1,403,303,100,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (968, 537), (975, 532), (988, 525), (1000, 520), (1063, 494), (1100, 478), (1138, 461), (1178, 444), (1263, 409), (1303, 392), (1345, 374)]",336.67580039958165,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,2,4,4,1,671,321,350,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 542), (959, 543), (959, 544), (959, 545), (958, 546), (958, 546), (958, 547), (958, 548), (958, 549), (957, 551), (957, 553), (956, 556), (955, 559), (953, 566), (953, 569), (951, 573), (950, 576), (947, 587), (944, 594), (940, 605), (936, 614), (928, 639), (926, 650), (921, 668), (918, 689), (910, 724), (906, 743), (901, 760), (899, 773), (889, 800), (886, 817), (880, 836), (877, 857), (870, 903), (870, 925), (869, 943)]",102.72435568542238,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,3,8,8,1,490,330,160,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 543), (959, 548), (959, 558), (964, 569), (983, 601), (999, 626), (1015, 649), (1029, 668), (1058, 708), (1074, 731), (1089, 749), (1098, 763), (1121, 794), (1134, 812), (1147, 833), (1162, 860), (1189, 907)]",58.036735710705294,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,4,8,8,1,290,20,270,151,0,500,200,8000,"[(960, 542), (960, 549), (960, 554), (960, 557), (962, 560), (965, 566), (966, 568), (966, 569), (967, 571), (969, 573), (969, 573), (969, 576), (970, 578), (977, 587), (977, 590), (981, 596), (984, 601), (989, 612), (993, 619), (997, 625), (1001, 633), (1014, 654), (1023, 669), (1041, 695), (1065, 726), (1114, 793), (1138, 829), (1157, 855), (1172, 880)]",58.0552472237966,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,5,6,4,0,-309,129,180,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (958, 541), (958, 541), (958, 544), (957, 548), (956, 550), (955, 553), (954, 556), (952, 563), (950, 569), (948, 574), (945, 581), (939, 601), (933, 619), (930, 645), (922, 697), (902, 811), (883, 875), (869, 925), (857, 966)]",103.59234481602962,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,6,1,1,1,399,279,120,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 539), (959, 526), (957, 517), (952, 504), (948, 491), (933, 445), (919, 401), (904, 353), (892, 309), (873, 240), (864, 204), (856, 160), (849, 117)]",255.2964481762384,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,7,3,3,1,881,761,120,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 535), (950, 520), (934, 500), (913, 478), (874, 438), (852, 414), (836, 398), (813, 378), (769, 343), (746, 321), (721, 304), (695, 285), (650, 253)]",222.79371603704834,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,8,4,4,1,451,61,390,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 541), (960, 543), (960, 543), (960, 543), (960, 543), (960, 543), (960, 543), (960, 544), (960, 545), (960, 546), (960, 548), (960, 549), (960, 553), (959, 557), (958, 561), (957, 567), (956, 573), (952, 585), (951, 590), (948, 599), (945, 607), (940, 627), (937, 638), (933, 651), (931, 663), (930, 688), (930, 703), (930, 717), (930, 732), (930, 761), (930, 773), (929, 787), (929, 800), (925, 832), (924, 853), (924, 870), (924, 887), (921, 917), (918, 930), (917, 940)]",96.13573334018679,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,9,3,3,1,801,361,440,149,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 540), (964, 534), (966, 530), (968, 527), (974, 520), (980, 512), (983, 508), (985, 505), (985, 504), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (987, 502), (985, 500), (977, 497), (967, 495), (947, 486), (937, 484), (927, 481), (914, 475), (896, 467), (886, 459), (877, 452), (859, 438), (812, 396), (785, 371), (765, 353), (743, 332), (702, 297), (681, 280), (670, 267), (660, 258)]",223.2285302599659,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
1,1,3,0,10,9,9,1,590,270,320,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 543), (966, 548), (966, 549), (969, 552), (969, 552), (970, 553), (971, 554), (971, 554), (971, 554), (971, 554), (971, 554), (971, 554), (972, 555), (972, 555), (972, 555), (972, 556), (973, 557), (974, 558), (975, 559), (976, 559), (981, 562), (986, 562), (994, 567), (1004, 569), (1037, 579), (1056, 583), (1086, 592), (1119, 597), (1195, 613), (1236, 623), (1286, 634), (1336, 638), (1391, 646)]",13.817080352899952,"[9, 8, 4, 6, 5, 3, 1, 2, 7]","(0, 0.25)",CHN008C,CHN,C,English,Thu Aug 30 11:12:38 2018,Mouse
