NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,3,2,0,1,7,7,1,813,542,271,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 540), (972, 537), (983, 531), (1008, 522), (1024, 517), (1041, 514), (1060, 508), (1093, 498), (1106, 494), (1118, 491), (1127, 489), (1147, 480), (1159, 475), (1169, 472), (1180, 466), (1201, 457), (1210, 453), (1220, 450), (1230, 445), (1248, 440), (1258, 437), (1268, 434), (1278, 431), (1296, 426), (1307, 424), (1320, 420), (1331, 417), (1355, 409)]",341.6521267627951,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,2,2,2,1,950,550,400,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 537), (958, 536), (958, 536), (956, 534), (955, 533), (953, 530), (951, 529), (948, 526), (943, 520), (940, 517), (939, 516), (938, 515), (936, 514), (934, 512), (934, 512), (933, 512), (929, 508), (928, 507), (927, 506), (926, 505), (921, 501), (916, 498), (909, 493), (899, 489), (878, 477), (867, 470), (850, 461), (836, 452), (802, 430), (788, 420), (765, 403), (749, 392), (715, 370), (701, 359), (689, 351), (680, 346), (660, 333), (653, 329), (644, 325), (636, 321), (623, 311)]",214.19709658689456,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,3,1,1,1,639,439,200,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 544), (963, 549), (965, 553), (969, 563), (971, 568), (973, 573), (973, 577), (977, 594), (977, 607), (977, 620), (977, 637), (977, 673), (977, 693), (977, 715), (977, 738), (974, 789), (969, 819), (964, 851), (956, 881), (942, 932), (936, 951)]",93.34194385726113,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,4,7,5,0,-859,659,200,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 539), (974, 546), (983, 552), (996, 559), (1015, 571), (1053, 591), (1081, 601), (1104, 608), (1132, 617), (1175, 627), (1192, 632), (1209, 638), (1229, 643), (1255, 656), (1266, 661), (1279, 666), (1290, 671), (1312, 680), (1324, 683), (1332, 685), (1339, 686)]",21.067895915368013,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,5,1,1,1,509,339,170,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 546), (960, 566), (958, 574), (955, 586), (954, 599), (949, 632), (948, 650), (945, 671), (941, 692), (931, 728), (922, 749), (911, 773), (902, 796), (878, 841), (869, 865), (862, 882), (857, 902), (851, 941)]",105.20674743594017,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,6,6,6,1,789,289,500,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 542), (960, 542), (959, 542), (959, 542), (959, 542), (959, 542), (957, 544), (957, 544), (957, 544), (957, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (956, 544), (960, 540), (984, 522), (1000, 504), (1008, 493), (1014, 475), (1028, 435), (1033, 418), (1035, 404), (1040, 393), (1046, 376), (1051, 364), (1054, 352), (1057, 339), (1063, 314), (1067, 306), (1069, 297), (1072, 291), (1082, 274), (1083, 269), (1089, 262), (1094, 252), (1107, 231), (1117, 216), (1125, 200), (1132, 189), (1147, 165)]",296.5039030898208,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,7,2,2,1,1031,701,330,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 535), (955, 512), (954, 501), (953, 492), (950, 483), (944, 466), (942, 458), (937, 447), (932, 437), (923, 417), (920, 409), (916, 399), (911, 393), (906, 383), (905, 380), (904, 378), (902, 375), (900, 373), (900, 373), (899, 373), (899, 373), (897, 372), (891, 369), (884, 368), (878, 364), (851, 353), (840, 345), (821, 337), (795, 327), (748, 305), (723, 292), (707, 283), (685, 270), (658, 255)]",223.34113105035019,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,8,6,6,1,709,499,210,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 540), (968, 530), (974, 520), (981, 508), (992, 491), (1009, 450), (1019, 426), (1029, 405), (1038, 384), (1053, 351), (1059, 336), (1066, 318), (1072, 306), (1079, 276), (1084, 261), (1089, 247), (1095, 232), (1105, 206), (1109, 199), (1113, 189), (1117, 180), (1127, 162)]",293.8357908971542,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,9,8,8,1,1149,709,440,149,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (959, 540), (958, 540), (956, 540), (949, 540), (942, 540), (934, 540), (923, 540), (898, 540), (883, 540), (869, 540), (854, 540), (822, 540), (807, 540), (790, 540), (773, 540), (741, 540), (727, 540), (713, 540), (701, 540), (675, 540), (664, 540), (653, 540), (641, 540), (618, 540), (607, 540), (596, 540), (580, 540), (550, 539)]",180.13974552658297,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
1,3,2,0,10,3,3,1,737,377,360,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 540), (961, 542), (961, 543), (961, 545), (961, 546), (961, 549), (963, 554), (967, 560), (971, 565), (975, 571), (983, 582), (990, 592), (998, 603), (1005, 613), (1017, 634), (1023, 644), (1028, 653), (1034, 663), (1048, 687), (1051, 694), (1055, 703), (1059, 711), (1064, 728), (1066, 735), (1070, 745), (1078, 768), (1082, 779), (1087, 790), (1089, 799), (1092, 806), (1097, 824), (1099, 834), (1104, 847), (1106, 857), (1113, 880), (1118, 895), (1123, 907)]",66.05199794787241,"[5, 3, 1, 9, 8, 2, 4, 6, 7]","(0, 0.25)",DOT005B,DOT,B,English,Mon Aug 20 12:02:18 2018,Mouse
