NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,3,4,0,1,9,9,1,1052,102,950,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 542), (960, 542), (960, 543), (960, 545), (960, 545), (960, 546), (960, 546), (960, 548), (960, 549), (960, 549), (960, 551), (960, 553), (960, 554), (960, 554), (960, 555), (960, 558), (960, 558), (960, 560), (960, 561), (960, 565), (960, 565), (960, 567), (960, 569), (960, 572), (960, 573), (962, 575), (962, 576), (963, 577), (963, 579), (963, 580), (965, 582), (966, 584), (966, 585), (966, 585), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (967, 586), (969, 588), (970, 588), (971, 591), (979, 601), (983, 606), (989, 614), (995, 620), (1009, 636), (1014, 645), (1020, 658), (1026, 670), (1033, 697), (1034, 709), (1037, 723), (1040, 736), (1045, 757), (1049, 767), (1051, 776), (1056, 785), (1064, 797), (1071, 804), (1077, 809), (1082, 812), (1090, 816), (1093, 818), (1098, 822), (1102, 823), (1109, 829), (1111, 831), (1113, 833), (1117, 836), (1122, 843), (1125, 846), (1129, 850), (1133, 856), (1141, 866), (1146, 874), (1149, 880), (1152, 887), (1159, 899)]",60.99962757380748,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,2,6,6,1,1478,808,670,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (959, 540), (959, 539), (959, 539), (959, 538), (959, 538), (959, 537), (959, 537), (959, 537), (959, 537), (959, 537), (959, 537), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 536), (959, 535), (959, 534), (959, 532), (959, 530), (960, 527), (960, 525), (962, 522), (964, 514), (965, 511), (966, 507), (968, 499), (971, 488), (973, 482), (974, 477), (976, 473), (981, 462), (982, 459), (984, 454), (986, 451), (989, 443), (990, 441), (992, 436), (994, 434), (996, 428), (999, 421), (1003, 416), (1006, 411), (1016, 396), (1023, 389), (1029, 381), (1036, 373), (1052, 354), (1061, 344), (1070, 334), (1078, 322), (1102, 293), (1112, 279), (1121, 265), (1133, 246), (1152, 204), (1160, 188)]",299.6044507460049,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,3,2,2,1,1020,100,920,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (960, 541), (959, 541), (959, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (958, 541), (959, 541), (961, 541), (961, 541), (961, 541), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (961, 540), (960, 540), (954, 540), (948, 541), (938, 542), (927, 543), (897, 546), (874, 546), (854, 547), (831, 549), (784, 549), (758, 549), (733, 549), (711, 549), (658, 549), (638, 549), (616, 549), (591, 549), (546, 549)]",178.75463573323165,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,4,3,3,1,468,338,130,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 540), (970, 536), (974, 534), (981, 531), (992, 527), (1016, 518), (1032, 514), (1050, 507), (1084, 496), (1150, 477), (1192, 466), (1228, 457), (1269, 443), (1360, 410)]",341.9958383940866,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,5,9,9,1,919,19,900,150,0,500,200,8000,"[(960, 540), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 542), (958, 542), (958, 542), (957, 543), (957, 543), (957, 544), (957, 546), (956, 548), (955, 549), (955, 550), (952, 554), (952, 556), (952, 556), (952, 558), (952, 560), (952, 561), (952, 563), (952, 564), (952, 567), (952, 567), (952, 568), (952, 568), (952, 568), (952, 568), (952, 568), (952, 568), (952, 569), (952, 570), (952, 570), (952, 571), (953, 573), (953, 575), (954, 578), (957, 584), (964, 597), (970, 608), (976, 618), (983, 631), (999, 660), (1014, 678), (1025, 695), (1035, 711), (1050, 744), (1054, 757), (1062, 774), (1065, 785), (1072, 803), (1078, 815), (1082, 825), (1087, 832), (1098, 847), (1103, 854), (1109, 861), (1114, 866), (1119, 871), (1120, 873), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1122, 874), (1123, 875), (1125, 877), (1127, 878), (1129, 880), (1135, 883), (1138, 885), (1139, 886), (1141, 887), (1146, 891), (1151, 894)]",61.65100735406743,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,6,4,4,1,651,11,640,149,0,500,200,8000,"[(960, 540), (960, 541), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (959, 542), (959, 542), (959, 543), (959, 543), (957, 545), (957, 545), (957, 545), (957, 545), (957, 545), (957, 545), (957, 545), (957, 545), (956, 547), (956, 548), (956, 549), (954, 551), (948, 559), (944, 565), (939, 571), (933, 579), (920, 598), (911, 607), (900, 617), (888, 630), (857, 658), (843, 673), (825, 692), (807, 707), (783, 726), (771, 733), (760, 740), (750, 745), (731, 753), (721, 755), (716, 756), (707, 759), (697, 761), (691, 763), (684, 764), (679, 765), (662, 770), (654, 773), (645, 776), (637, 779)]",143.50085135256543,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,7,3,3,1,1809,919,890,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (958, 540), (960, 540), (963, 540), (973, 536), (978, 534), (984, 531), (993, 528), (1007, 523), (1016, 518), (1026, 515), (1034, 513), (1054, 507), (1061, 506), (1075, 502), (1084, 498), (1100, 492), (1112, 487), (1122, 484), (1132, 480), (1153, 473), (1163, 469), (1175, 463), (1185, 458), (1209, 448), (1218, 446), (1231, 440), (1242, 436), (1267, 428), (1282, 423), (1294, 418), (1305, 416), (1328, 411), (1338, 406)]",340.4807179477895,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,8,1,1,1,300,50,250,147,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 541), (973, 544), (980, 545), (988, 546), (996, 548), (1016, 550), (1025, 551), (1033, 553), (1042, 554), (1055, 558), (1064, 560), (1070, 561), (1078, 565), (1095, 570), (1104, 571), (1112, 574), (1125, 578), (1150, 586), (1169, 590), (1189, 595), (1208, 601), (1259, 617), (1281, 623), (1305, 627), (1328, 635), (1373, 648)]",14.654753424623786,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,9,8,8,1,860,340,520,146,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 542), (960, 543), (960, 543), (960, 546), (960, 547), (959, 550), (959, 557), (959, 562), (958, 567), (957, 573), (954, 591), (953, 600), (953, 608), (953, 615), (953, 630), (953, 637), (952, 644), (950, 651), (949, 662), (948, 669), (948, 679), (948, 690), (948, 713), (948, 726), (948, 740), (948, 752), (948, 778), (948, 789), (948, 800), (948, 809), (948, 821), (948, 828), (948, 834), (947, 840), (943, 857), (940, 865), (938, 872), (936, 881), (933, 892), (932, 899), (931, 905), (931, 909), (928, 921), (924, 929), (922, 937), (921, 944)]",95.51394254582497,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
1,3,4,0,10,8,8,1,319,19,300,145,0,500,200,8000,"[(960, 547), (960, 554), (960, 561), (960, 574), (960, 579), (959, 583), (958, 589), (955, 602), (955, 607), (953, 616), (951, 624), (945, 640), (943, 649), (942, 656), (939, 664), (937, 677), (935, 685), (934, 692), (934, 698), (934, 710), (934, 715), (934, 723), (934, 730), (934, 746), (934, 757), (932, 768), (929, 786), (921, 839), (918, 871), (916, 902), (911, 934), (902, 990)]",97.34429928950267,"[1, 9, 8, 4, 2, 5, 7, 6, 3]","(0, 0.25)",DOT011D,DOT,D,English,Wed Sep 05 15:02:57 2018,Mouse
