NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,0,4,0,1,1,1,1,582,502,80,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (950, 540), (930, 543), (845, 552), (800, 554), (750, 554), (703, 554), (578, 554), (509, 554)]",178.22198800286208,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,2,2,2,1,441,381,60,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (961, 553), (953, 586), (939, 635), (928, 703), (922, 851), (923, 926), (934, 999)]",93.24204800269837,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,3,4,4,1,399,349,50,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (954, 525), (922, 488), (818, 403), (757, 362), (697, 320), (631, 288)]",217.45057823173673,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,4,2,2,1,349,309,40,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (958, 549), (927, 653), (905, 733), (880, 832), (854, 945)]",104.6669363077307,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,5,4,4,1,379,319,60,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 538), (958, 528), (934, 503), (888, 464), (769, 349), (693, 282), (612, 210)]",223.4792303388562,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,6,3,3,1,480,440,40,149,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 524), (951, 403), (933, 326), (908, 235), (883, 147)]",258.91453564107985,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,7,1,1,1,539,459,80,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (949, 540), (926, 547), (868, 564), (843, 570), (815, 572), (778, 572), (652, 539), (561, 523), (473, 500)]",184.69547883087247,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,8,6,6,1,961,881,80,147,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (963, 527), (995, 452), (1014, 412), (1026, 368), (1039, 321), (1061, 246), (1072, 207), (1080, 169), (1090, 138)]",287.92032991180486,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,9,8,8,1,601,521,80,146,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (968, 539), (981, 547), (1005, 560), (1036, 582), (1108, 632), (1151, 670), (1189, 721), (1225, 771), (1287, 878)]",45.94766331054662,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
1,0,4,0,10,4,4,1,469,409,60,145,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (958, 539), (947, 520), (891, 435), (844, 386), (791, 339), (732, 293), (613, 213)]",223.30032725041391,"[9, 8, 2, 5, 1, 4, 3, 6, 7]","(0, 0.25)",ENG001D,ENG,D,English,Fri Aug 24 11:23:53 2018,Mouse
