NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,0,2,0,1,7,7,1,679,479,200,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (958, 542), (955, 539), (942, 503), (928, 471), (913, 434), (896, 397), (867, 310), (849, 277), (835, 245), (827, 220), (816, 166)]",248.9419602117472,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,2,2,2,1,399,319,80,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 540), (962, 546), (963, 554), (965, 568), (982, 648), (996, 706), (1011, 774), (1029, 854), (1066, 994)]",76.85799889132785,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,3,4,4,1,850,720,130,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 539), (963, 537), (974, 525), (982, 514), (989, 501), (998, 478), (1027, 409), (1035, 365), (1045, 337), (1053, 307), (1071, 238), (1082, 199), (1092, 168), (1101, 149)]",289.8300040839034,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,4,5,5,1,800,760,40,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 565), (960, 610), (960, 687), (948, 777), (926, 948)]",94.76364169072617,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,5,8,8,1,729,669,60,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (950, 545), (924, 551), (877, 551), (810, 551), (652, 553), (564, 553), (486, 553)]",178.42899058685614,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,6,6,6,1,790,730,60,149,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 534), (944, 509), (918, 477), (879, 429), (769, 339), (713, 298), (661, 267)]",222.3974377975002,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,7,9,9,1,531,371,160,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 541), (959, 542), (961, 545), (972, 549), (1051, 569), (1128, 589), (1234, 605), (1349, 624), (1582, 661)]",11.008471853890011,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,8,9,9,1,278,228,50,147,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 540), (970, 540), (991, 550), (1050, 571), (1135, 594), (1429, 657)]",14.007494960799116,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,9,6,6,1,810,700,110,146,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 541), (958, 541), (957, 541), (955, 541), (949, 541), (943, 533), (929, 515), (907, 482), (819, 392), (768, 352), (713, 312), (655, 280)]",220.44623202084136,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
1,0,2,0,10,9,9,1,420,380,40,145,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (963, 540), (988, 550), (1132, 598), (1242, 617), (1374, 646)]",14.361414661813384,"[9, 2, 5, 1, 8, 6, 7, 4, 3]","(0, 0.25)",ENG002B,ENG,B,English,Tue Aug 07 11:19:09 2018,Mouse
