NativeLangNumber,LanuageNumber,SessionNumber,Block,TrialNum,ConditionNumber,Response,Accuracy,RT,MovementOnsetTime,TimeInMotion,SignalContrast,SignalContrastNumber,StimDisplayTime,MaskTime,MaxResponseTime,MousePositionXY,MouseAngle,WheelOrder,NoiseMuSigma,ParticipantID,LanuageTested,SessionTested,NativeLanuage,Date,ResponseDevice
1,2,2,0,1,5,5,1,1013,353,660,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (954, 540), (945, 540), (934, 540), (923, 538), (898, 536), (884, 536), (872, 536), (861, 536), (844, 535), (834, 535), (826, 535), (818, 535), (800, 535), (794, 535), (789, 535), (783, 535), (763, 535), (750, 537), (733, 539), (715, 540), (684, 545), (665, 549), (645, 550), (623, 550), (594, 552), (585, 553), (579, 555), (578, 555), (576, 555), (576, 555), (576, 555), (576, 555), (576, 555), (576, 555), (576, 555), (576, 555), (576, 555), (575, 555), (573, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (572, 555), (569, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (567, 555), (566, 555), (563, 555), (561, 555), (560, 555)]",177.8524145717015,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,2,8,8,1,736,156,580,153,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (962, 538), (962, 534), (962, 532), (962, 529), (962, 526), (962, 520), (962, 514), (962, 510), (960, 501), (953, 484), (952, 476), (949, 467), (947, 459), (941, 444), (938, 436), (935, 428), (932, 420), (929, 408), (928, 405), (927, 404), (927, 402), (927, 399), (927, 398), (927, 397), (927, 396), (927, 394), (927, 393), (927, 392), (927, 391), (927, 389), (928, 387), (928, 386), (928, 384), (929, 380), (929, 378), (929, 374), (929, 370), (929, 365), (929, 362), (929, 361), (929, 360), (929, 359), (929, 358), (929, 358), (929, 356), (929, 352), (928, 349), (926, 345), (922, 340), (916, 326), (912, 316), (907, 305), (905, 293), (894, 254), (891, 236), (888, 215), (886, 197), (881, 162), (878, 141)]",258.38662617684633,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,3,3,3,1,1198,58,1140,152,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 539), (957, 539), (956, 539), (954, 539), (953, 538), (950, 537), (949, 537), (947, 536), (946, 536), (938, 534), (934, 534), (931, 533), (929, 533), (924, 532), (920, 532), (917, 531), (910, 530), (898, 528), (890, 527), (884, 526), (879, 526), (872, 525), (871, 525), (867, 524), (864, 524), (861, 524), (860, 523), (858, 523), (858, 523), (855, 523), (854, 523), (852, 523), (850, 523), (846, 523), (844, 523), (843, 523), (840, 523), (838, 523), (837, 523), (836, 523), (836, 523), (833, 523), (833, 523), (832, 523), (830, 523), (827, 521), (823, 518), (820, 514), (818, 511), (813, 502), (811, 496), (809, 490), (807, 481), (801, 465), (796, 458), (792, 448), (788, 438), (782, 426), (780, 421), (777, 416), (776, 413), (768, 402), (763, 395), (756, 387), (750, 379), (745, 373), (744, 372), (744, 372), (744, 371), (744, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 371), (743, 372), (743, 376), (743, 380), (744, 387), (747, 400), (750, 420), (751, 435), (751, 449), (751, 464), (751, 491), (747, 505), (741, 518), (737, 529), (725, 555), (722, 565), (717, 575), (714, 582), (708, 595), (707, 604), (706, 609), (703, 614), (701, 622), (701, 625), (701, 630), (700, 634), (697, 645), (697, 653), (694, 660), (690, 671), (681, 694), (675, 710), (669, 723), (663, 740), (649, 770), (643, 785)]",142.30061582387918,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,4,7,7,1,527,167,360,151,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (952, 548), (950, 553), (947, 562), (944, 570), (940, 578), (937, 585), (936, 591), (935, 596), (934, 608), (934, 615), (934, 621), (934, 630), (938, 652), (940, 661), (942, 669), (942, 679), (942, 701), (942, 708), (940, 719), (936, 729), (934, 749), (932, 759), (931, 770), (930, 783), (925, 801), (924, 809), (921, 819), (918, 828), (910, 844), (905, 856), (901, 866), (895, 893), (893, 905), (892, 915), (890, 927), (888, 940)]",100.20397372173169,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,5,9,9,1,3028,1028,2000,150,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (969, 534), (976, 531), (986, 527), (996, 521), (1016, 509), (1028, 501), (1037, 493), (1047, 484), (1066, 461), (1075, 447), (1081, 437), (1088, 427), (1100, 409), (1103, 402), (1107, 395), (1108, 391), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1110, 388), (1106, 388), (1101, 388), (1100, 389), (1100, 389), (1099, 389), (1099, 389), (1099, 389), (1099, 389), (1099, 389), (1098, 389), (1098, 388), (1098, 386), (1098, 385), (1098, 384), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1098, 383), (1096, 382), (1095, 382), (1092, 381), (1092, 381), (1087, 380), (1083, 378), (1082, 377), (1078, 376), (1069, 369), (1062, 365), (1056, 361), (1049, 355), (1034, 344), (1030, 343), (1028, 340), (1026, 338), (1019, 332), (1017, 327), (1015, 324), (1014, 322), (1012, 318), (1012, 316), (1012, 316), (1012, 316), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1012, 315), (1011, 316), (1010, 318), (1007, 322), (1004, 323), (1001, 324), (998, 327), (993, 328), (991, 330), (989, 330), (988, 331), (983, 334), (983, 335), (982, 335), (981, 337), (979, 339), (977, 340), (976, 341), (975, 342), (975, 343), (975, 343), (975, 343), (975, 343), (975, 343), (975, 343), (975, 343), (975, 343), (975, 343), (974, 343), (974, 343), (974, 343), (974, 344), (974, 344), (974, 344), (974, 345), (974, 346), (974, 346), (973, 347), (972, 348), (972, 349), (972, 349), (972, 349), (971, 350), (971, 350), (971, 351), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (969, 353), (970, 353), (971, 352), (978, 348), (980, 347), (984, 344), (986, 343), (990, 341), (990, 341), (991, 341), (991, 341), (991, 341), (991, 341), (991, 341), (991, 341), (991, 341), (991, 341), (989, 342), (984, 344), (975, 350), (970, 352), (964, 356), (958, 359), (948, 367), (940, 375), (934, 381), (927, 389), (923, 396), (922, 399), (922, 400), (922, 402), (922, 402), (922, 402), (922, 402), (922, 402), (922, 402), (922, 402), (922, 402), (925, 402), (945, 387), (963, 374), (986, 354), (1012, 333), (1065, 295), (1095, 268), (1118, 246), (1136, 225), (1162, 188)]",299.84994678953177,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,6,8,8,1,420,20,400,149,0,500,200,8000,"[(952, 542), (945, 542), (933, 543), (929, 545), (927, 545), (923, 545), (915, 545), (912, 545), (909, 545), (908, 544), (905, 544), (903, 542), (903, 542), (903, 542), (903, 542), (903, 542), (902, 541), (902, 541), (900, 540), (898, 539), (898, 539), (897, 539), (894, 538), (893, 537), (892, 537), (891, 537), (887, 537), (884, 535), (880, 535), (879, 535), (873, 531), (869, 527), (865, 523), (861, 514), (853, 478), (853, 456), (853, 423), (853, 384), (853, 295), (853, 245), (858, 199), (866, 148)]",256.51532341136976,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,7,1,1,1,480,190,290,148,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (963, 540), (970, 547), (973, 552), (975, 557), (981, 563), (993, 576), (1000, 581), (1006, 588), (1011, 593), (1020, 599), (1023, 603), (1029, 606), (1036, 612), (1051, 622), (1058, 628), (1067, 634), (1076, 641), (1096, 652), (1104, 657), (1112, 659), (1125, 665), (1150, 671), (1162, 675), (1180, 680), (1202, 686), (1249, 691), (1271, 695), (1297, 698), (1319, 702), (1346, 709)]",23.644949351285277,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,8,1,1,1,409,39,370,147,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (963, 539), (968, 539), (975, 540), (982, 541), (996, 542), (1002, 545), (1007, 546), (1011, 547), (1022, 551), (1025, 552), (1029, 554), (1032, 554), (1037, 555), (1039, 556), (1044, 558), (1048, 558), (1057, 560), (1063, 562), (1067, 564), (1072, 565), (1079, 569), (1083, 572), (1090, 577), (1095, 581), (1107, 592), (1111, 598), (1118, 604), (1127, 612), (1146, 627), (1156, 634), (1169, 643), (1181, 649), (1211, 662), (1223, 667), (1242, 674), (1260, 684), (1305, 704), (1328, 713)]",25.178625303890673,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,9,3,3,1,501,101,400,146,0,500,200,8000,"[(960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (960, 540), (959, 540), (953, 540), (947, 543), (944, 543), (937, 547), (932, 549), (926, 551), (920, 553), (911, 555), (904, 557), (900, 558), (895, 560), (884, 565), (878, 568), (872, 572), (865, 577), (844, 592), (834, 601), (822, 612), (812, 621), (791, 636), (782, 644), (775, 650), (770, 655), (762, 663), (760, 666), (759, 669), (758, 673), (755, 683), (754, 690), (754, 697), (753, 703), (746, 720), (741, 729), (735, 738), (729, 747), (711, 765), (703, 772), (692, 780), (682, 787), (654, 806)]",139.00018576051312,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
1,2,2,0,10,3,3,1,320,20,300,145,0,500,200,8000,"[(957, 541), (952, 543), (941, 547), (933, 550), (926, 552), (920, 554), (908, 557), (902, 560), (897, 563), (885, 568), (879, 571), (874, 575), (871, 578), (862, 584), (858, 587), (851, 591), (847, 594), (833, 603), (827, 608), (818, 616), (811, 622), (797, 642), (789, 653), (781, 664), (771, 678), (751, 702), (739, 717), (723, 735), (708, 753), (676, 789), (661, 803), (642, 821)]",138.53464740006538,"[1, 4, 7, 3, 5, 2, 8, 9, 6]","(0, 0.25)",THI006B,THI,B,English,Wed Aug 22 15:28:09 2018,Mouse
